ID,Nombre,Categoría,Precio,Stock
15517,Vw2WiyKh,5FdESXe8,3.05,665
13212,MRDC6uSB,YtP4JZ7R,3.17,932
7075,5lJYcCFc,T5WQwtmB,3.23,448
9856,UZRmqCGJ,7DVdvHgT,3.35,945
3675,1mOlCaaW,gDpv1GKC,3.38,878
2929,K9pUE0zC,t7pb8mZV,3.46,588
14650,rGf7LBwZ,JRzQnT8S,3.52,428
19375,I68cOI8t,9hvgP4Gp,3.61,619
1981,m5DrSmNp,VlykbXgS,3.63,139
5438,e8lcbZaJ,gdMaXdQi,3.78,286
16656,f7eU9Dgs,yI2tUl4N,3.87,747
17307,euRulkle,ntJ93ofL,4.19,766
9981,EijI6zNz,UKHyJnyo,4.24,435
21981,L0HPPjGh,ske70WGd,4.30,545
21594,xunJIvUK,Ws47sezr,4.31,564
13229,WF9ig1ai,7C4nHCBO,4.35,210
16965,S0PNpHEu,3AXf6ltT,4.41,179
421,WqjNiI6C,u51YhIdc,4.42,676
4331,9twABSWV,Gpy8REvX,4.44,353
191,u6qyHxE0,cvptpPkO,4.49,558
24064,51Eu0pqa,xJ31RQqT,4.67,914
21630,OLUM4C2j,gF56pISG,4.85,187
7008,hmQwOFmN,nPBJqu0P,4.91,17
22163,ipPGTm7d,qcm4mDRr,4.94,338
4226,AbkC4fiv,ivfjbfnQ,5.04,245
18631,CoIWV4Es,3T0iVApa,5.07,749
7373,o6YFEkZc,sH1IJixG,5.13,386
11642,6l5pEnMf,K24GnK4j,5.44,579
11371,CcZmnymk,RTnYtYmJ,5.50,878
1963,Zz7CUcqo,1QVJ4Obh,5.53,5
16845,KViQ6rjh,fTEI5sIB,5.57,556
24756,AuZEFvaJ,y3koSNsH,5.59,863
946,NQqD5tLh,GW1t5R60,5.70,123
23014,rfIHCyTr,gxFc2Kbd,5.74,728
21874,FvcJNlNt,j8prPIcj,5.79,938
23605,OcvsT1Hw,mDCju8NM,5.83,897
22273,3oYq9IYX,glL27L3s,6.02,335
20609,nPfB7Gtf,w9JCiRyl,6.06,61
14427,ABvtNlgd,Z7JX69Ls,6.12,323
852,tAETUiab,41yjXPGs,6.15,553
9936,eQLV8itq,KS0mua8y,6.17,491
9235,n8HeWHE3,FyyVDAT0,6.18,260
18999,KyOqjhd6,OgDcef9z,6.23,427
