ID,Nombre,Categoría,Precio,Stock
37061,MsYdFvBx,PmDyWmlO,3.03,954
23651,fk4rmkSb,FNDkQcCm,3.05,688
5301,KdrWSYIm,kbwVFCOw,3.15,217
11383,cHRa0tkN,lsti3Mv6,3.15,774
24475,4xgtOX11,6Ed3DzrV,3.15,491
15497,uV0KyJ5x,QU2r11EH,3.20,870
20561,KYiNANws,LZDqsdtH,3.20,301
41765,4ibvvrd5,CQiAHFY1,3.21,923
7244,SaHiRtVJ,5vfmnPPi,3.26,121
2126,KEfF2kHh,CodjFa6G,3.33,563
38107,sBy5dJK3,e64ziCni,3.33,829
5044,8yoiVC4f,sAG4RJZ7,3.39,88
14737,fQ1uPdE8,aBBs1til,3.40,357
32268,eVoqtUc3,MDMZSepl,3.42,964
9319,5LZfcM2S,VZ9WunkJ,3.43,391
9085,rAm2DKeJ,u5uzZvn8,3.44,697
28559,DflRTe4v,PeEmJ0A2,3.45,841
14949,WPS2GTfc,j8JvDYnX,3.66,214
32839,IJQCHzYa,GuIU7KlC,3.71,643
47101,pIIVkJn6,U4p7VcCW,3.73,834
39486,Q7axbFhH,422grGfD,3.79,89
35455,30uWrrw2,6j9ztdqQ,3.80,417
26968,0TZQURTp,mFRdBWKM,3.82,703
6204,yChLN87Y,bWALVWiw,3.84,67
11794,YZEuDdn2,yAUu6D1i,3.84,492
22899,Jf31C7FB,fKNY0Oqm,3.86,808
29631,0b92fd6I,LfmcGCmT,3.98,724
43340,KOnlfA4t,fMLqZ9d9,4.03,104
5250,7t9z0AAb,5qHMirgP,4.06,51
35523,HyEfSuvc,aR1d1mta,4.12,71
1856,y5mbgApD,r7ag520x,4.18,452
32368,wal1F8xD,1fDrZ0FY,4.18,498
27595,K4b941kK,e0KACLUM,4.22,139
18509,DVisivRk,7HGgpIKO,4.26,425
29856,I5GTpW0A,RpITGFTE,4.27,404
32007,aFXbk0SF,uCteg7st,4.27,896
41376,bbUUrLo3,saVKM0cP,4.27,508
38609,QNsc66pm,Du5Wuxey,4.29,646
3001,jVqLwdgG,dPUxlC60,4.41,103
42065,WzS9oEJ1,sf73XxNP,4.41,226
13971,RIiNVG7p,xrNPoY0O,4.45,929
43415,vKvfUfOc,Hws1Vx4j,4.47,996
10934,AmABxPsS,05AJPdVi,4.48,970
38805,6pasOHkm,x5palZk3,4.50,232
21471,5ijdew63,NcUyvaEC,4.56,485
20159,uPrcGXXv,t9NB4up4,4.61,839
4208,F9NEfn53,b7Q2mNAr,4.63,628
34413,Y7U8HM8H,NPwTGTYr,4.66,491
31755,7uTqZDcN,A3yE0m8q,4.71,383
34698,oslnbtzR,UHrymAWj,4.71,273
23216,rBKUWO7T,3FYRhHeU,4.72,618
22184,hgXsCGr6,NM5oeB50,4.73,14
40106,lG5jpjqZ,a76XYss8,4.79,847
12786,8cgqcHld,AfhiT8RX,4.84,667
15597,bANBV4lo,YvAR468r,4.91,967
36294,pgc6Z9A1,J7oVRqqV,4.95,614
